t_weight,e_weight,sum_avg,e_avg,t_avg
0.0,1.0,66.49497511978694,66.49497511978694,0.0
0.01,0.99,66.13522670783276,65.83002536858909,0.30520133924367615
0.02,0.98,65.77547829587854,65.1650756173912,0.6104026784873523
0.03,0.97,65.41572988392436,64.50012586619334,0.9156040177310283
0.04,0.96,65.05598147197016,63.83517611499549,1.2208053569747046
0.05,0.95,64.69623306001598,63.170226363797575,1.5260066962183803
0.060000000000000005,0.94,64.3364846480618,62.50527661259973,1.8312080354620568
0.07,0.9299999999999999,63.9767362361076,61.84032686140187,2.136409374705734
0.08,0.92,63.616987824153384,61.17537711020399,2.441610713949409
0.09,0.91,63.2572394121992,60.51042735900614,2.7468120531930866
0.09999999999999999,0.9,62.89749100024502,59.84547760780825,3.0520133924367605
0.10999999999999999,0.89,62.537742588290854,59.18052785661037,3.357214731680439
0.11999999999999998,0.88,62.17799417633662,58.515578105412516,3.662416070924113
0.12999999999999998,0.87,61.81824576438246,57.850628354214635,3.967617410167788
0.13999999999999999,0.86,61.45849735242823,57.185678603016804,4.272818749411468
0.15,0.85,61.09874894047406,56.520728851818916,4.578020088655144
0.16,0.84,60.739000528519846,55.85577910062102,4.883221427898818
0.17,0.83,60.37925211656567,55.190829349423176,5.188422767142495
0.18000000000000002,0.82,60.01950370461148,54.525879598225295,5.493624106386173
0.19000000000000003,0.8099999999999999,59.65975529265728,53.86092984702743,5.798825445629851
0.20000000000000004,0.7999999999999999,59.300006880703094,53.19598009582953,6.104026784873522
0.21000000000000005,0.7899999999999999,58.94025846874887,52.53103034463169,6.409228124117207
0.22000000000000006,0.7799999999999999,58.58051005679473,51.8660805934338,6.714429463360879
0.23000000000000007,0.7699999999999999,58.22076164484051,51.20113084223594,7.019630802604554
0.24000000000000007,0.7599999999999999,57.861013232886336,50.53618109103807,7.324832141848231
0.25000000000000006,0.75,57.50126482093213,49.871231339840236,7.630033481091906
0.26000000000000006,0.74,57.14151640897792,49.206281588642334,7.93523482033558
0.2700000000000001,0.73,56.78176799702373,48.541331837444474,8.24043615957926
0.2800000000000001,0.72,56.42201958506955,47.876382086246615,8.545637498822938
0.2900000000000001,0.71,56.06227117311535,47.21143233504873,8.850838838066613
0.3000000000000001,0.7,55.70252276116112,46.546482583850874,9.15604017731029
0.3100000000000001,0.69,55.34277434920695,45.88153283265297,9.461241516553962
0.3200000000000001,0.6799999999999999,54.98302593725277,45.21658308145512,9.766442855797639
0.3300000000000001,0.6699999999999999,54.62327752529857,44.55163333025725,10.071644195041316
0.34000000000000014,0.6599999999999999,54.26352911334439,43.88668357905937,10.376845534284996
0.35000000000000014,0.6499999999999999,53.903780701390176,43.22173382786152,10.682046873528666
0.36000000000000015,0.6399999999999999,53.54403228943596,42.55678407666363,10.987248212772352
0.37000000000000016,0.6299999999999999,53.18428387748178,41.89183432546576,11.292449552016022
0.38000000000000017,0.6199999999999999,52.824535465527596,41.2268845742679,11.597650891259708
0.3900000000000002,0.6099999999999999,52.46478705357342,40.561934823070025,11.902852230503381
0.4000000000000002,0.5999999999999999,52.105038641619224,39.89698507187216,12.208053569747046
0.4100000000000002,0.5899999999999999,51.74529022966502,39.23203532067429,12.513254908990735
0.4200000000000002,0.5799999999999998,51.385541817710816,38.56708556947643,12.818456248234416
0.4300000000000002,0.5699999999999998,51.0257934057566,37.902135818278566,13.123657587478094
0.4400000000000002,0.5599999999999998,50.66604499380245,37.23718606708067,13.428858926721762
0.45000000000000023,0.5499999999999998,50.306296581848244,36.572236315882805,13.734060265965432
0.46000000000000024,0.5399999999999998,49.94654816989408,35.90728656468495,14.039261605209107
0.47000000000000025,0.5299999999999998,49.58679975793985,35.24233681348707,14.344462944452786
0.48000000000000026,0.5199999999999998,49.22705134598567,34.57738706228919,14.649664283696463
0.49000000000000027,0.5099999999999998,48.86730293403145,33.912437311091324,14.95486562294014
0.5000000000000002,0.4999999999999998,48.50755452207728,33.24748755989346,15.260066962183817
0.5100000000000002,0.48999999999999977,48.14780611012311,32.58253780869558,15.565268301427484
0.5200000000000002,0.47999999999999976,47.788057698168885,31.91758805749773,15.870469640671168
0.5300000000000002,0.46999999999999975,47.42830928621469,31.25263830629985,16.175670979914848
0.5400000000000003,0.45999999999999974,47.06856087426052,30.58768855510198,16.480872319158532
0.5500000000000003,0.44999999999999973,46.70881246230631,29.922738803904103,16.78607365840221
0.5600000000000003,0.4399999999999997,46.349064050352105,29.257789052706244,17.091274997645886
0.5700000000000003,0.4299999999999997,45.98931563839794,28.592839301508388,17.39647633688955
0.5800000000000003,0.4199999999999997,45.62956722644373,27.927889550310493,17.70167767613323
0.5900000000000003,0.4099999999999997,45.269818814489525,27.262939799112633,18.006879015376903
0.6000000000000003,0.3999999999999997,44.91353042162419,26.620116733670258,18.293413687953915
0.6100000000000003,0.3899999999999997,44.611973494473986,25.99982615431148,18.612147340162497
0.6200000000000003,0.37999999999999967,44.254987285461695,25.336090598679686,18.918896686782016
0.6300000000000003,0.36999999999999966,43.869138680537006,24.754586031955466,19.114552648581526
0.6400000000000003,0.35999999999999965,43.50275906932393,24.08535447040512,19.417404598918807
0.6500000000000004,0.34999999999999964,43.13143499521152,23.440034517149574,19.69140047806195
0.6600000000000004,0.33999999999999964,42.76192588917961,22.76961819402004,19.992307695159568
0.6700000000000004,0.3299999999999996,42.4023131904878,22.11496088177843,20.287352308709366
0.6800000000000004,0.3199999999999996,42.03357057551778,21.451199830519187,20.582370744998606
0.6900000000000004,0.3099999999999996,41.65682697499521,20.779817823752996,20.877009151242206
0.7000000000000004,0.2999999999999996,41.28074808135112,20.128007308537818,21.152740772813317
0.7100000000000004,0.2899999999999996,40.903079762822365,19.467960422042196,21.435119340780176
0.7200000000000004,0.2799999999999996,40.51589353320148,18.93156256034251,21.58433097285897
0.7300000000000004,0.2699999999999996,40.10772209344537,18.280877465770754,21.826844627674628
0.7400000000000004,0.25999999999999956,39.76115123324077,17.684478764101527,22.076672469139247
0.7500000000000004,0.24999999999999956,39.350628160674525,17.181014031393573,22.16961412928096
0.7600000000000005,0.23999999999999955,38.92794969222876,16.575007400986372,22.35294229124241
0.7700000000000005,0.22999999999999954,38.46709312779815,15.988547708392606,22.478545419405545
0.7800000000000005,0.21999999999999953,38.027013771661636,15.394718820606773,22.632294951054856
0.7900000000000005,0.20999999999999952,37.60751511925966,14.778357622237957,22.829157497021697
0.8000000000000005,0.1999999999999995,37.009460053591425,14.5002875780055,22.509172475585913
0.8100000000000005,0.1899999999999995,36.59552623496725,13.968203413009006,22.62732282195827
0.8200000000000005,0.1799999999999995,36.119903200955626,13.283648916502136,22.83625428445347
0.8300000000000005,0.16999999999999948,35.59821769314615,12.600965422056147,22.997252271090016
0.8400000000000005,0.15999999999999948,35.15635839858129,12.042042506890306,23.114315891691007
0.8500000000000005,0.14999999999999947,34.70512318537157,11.355671546244245,23.349451639127327
0.8600000000000005,0.13999999999999946,34.23285048620128,10.628796248142715,23.60405423805858
0.8700000000000006,0.12999999999999945,33.51178195406484,10.122791615020024,23.38899033904483
0.8800000000000006,0.11999999999999944,32.970052371594406,9.61378070068786,23.356271670906548
0.8900000000000006,0.10999999999999943,32.38670631062234,8.992686448048623,23.394019862573725
0.9000000000000006,0.09999999999999942,31.72403746312023,8.239057408225861,23.484980054894358
0.9100000000000006,0.08999999999999941,31.20090246682923,7.452253229324464,23.748649237504765
0.9200000000000006,0.0799999999999994,30.658758506166,6.712731254992049,23.94602725117394
0.9300000000000006,0.0699999999999994,29.972806828480035,5.9447692354458255,24.028037593034224
0.9400000000000006,0.05999999999999939,29.29681264811647,5.130677226117415,24.166135421999048
0.9500000000000006,0.04999999999999938,28.286391486745664,4.3788973110525,23.90749417569313
0.9600000000000006,0.03999999999999937,27.38371049223252,3.603690584194279,23.78001990803825
0.9700000000000006,0.02999999999999936,26.72084069710848,2.69731173656308,24.023528960545388
0.9800000000000006,0.01999999999999935,25.984336584277397,1.8333749010798701,24.150961683197536
0.9900000000000007,0.009999999999999343,25.372498623476453,0.9137473970354282,24.45875122644101
